No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Clint Capela,C,6-10,240,May 18 1994,ch,7,
11,Trae Young,PG,6-1,164,September 19 1998,us,3,Oklahoma
20,John Collins,PF,6-9,235,September 23 1997,us,4,Wake Forest
22,Cam Reddish,SF,6-8,218,September 1 1999,us,2,Duke
0,Delon Wright,SG,6-5,185,April 26 1992,us,6,Utah
3,Kevin Huerter,SG,6-7,190,August 27 1998,us,3,Maryland
10,Gorgui Dieng,C,6-10,252,January 18 1990,sn,8,Louisville
8,Danilo Gallinari,PF,6-10,233,August 8 1988,it,12,
6,Lou Williams,PG,6-1,175,October 27 1986,us,16,
13,Bogdan Bogdanovic,SG,6-6,220,August 18 1992,rs,4,
7,Timothé Luwawu-Cabarrot,SF,6-7,220,May 9 1995,fr,5,
4,Skylar Mays  (TW),SG,6-4,205,September 5 1997,us,1,LSU
18,Solomon Hill,PF,6-6,226,March 18 1991,us,8,Arizona
12,De'Andre Hunter,SF,6-8,225,December 2 1997,us,2,Virginia
1,Jalen Johnson,PF,6-9,220,December 18 2001,us,R,Duke
2,Sharife Cooper  (TW),PG,6-1,180,June 11 2001,us,R,Auburn
17,Onyeka Okongwu,C,6-8,235,December 11 2000,us,1,USC
45,Chaundee Brown Jr.,SG,6-5,215,December 4 1998,us,R,Wake Forest Michigan
5,Cat Barber,PG,6-2,190,July 25 1994,us,R,NC State
49,Cameron Oliver,SF,6-8,239,July 11 1996,us,1,Nevada
,Chris Clemons,G,5-9,180,July 23 1997,us,1,Campbell
,Justin Tillman,F-C,6-8,229,February 2 1996,us,R,VCU
,Malik Ellison,G,6-6,215,August 17 1996,us,R,St. John's Pitt University of Hartford 
