No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Patty Mills,PG,6-1,180,August 11 1988,au,12,Saint Mary's
13,James Harden,PG,6-5,220,August 26 1989,us,12,Arizona State
95,DeAndre' Bembry,SF,6-5,210,July 4 1994,us,5,Saint Joseph's
7,Kevin Durant,PF,6-10,240,September 29 1988,us,13,Texas
0,Jevon Carter,PG,6-1,200,September 14 1995,us,3,West Virginia
1,Bruce Brown,SF,6-4,202,August 15 1996,us,3,Miami (FL)
21,LaMarcus Aldridge,C,6-11,250,July 19 1985,us,15,Texas
2,Blake Griffin,PF,6-9,250,March 16 1989,us,11,Oklahoma
24,Cam Thomas,SG,6-4,210,October 13 2001,jp,R,LSU
31,Paul Millsap,PF,6-7,257,February 10 1985,us,15,Louisiana Tech
16,James Johnson,PF,6-7,240,February 20 1987,us,12,Wake Forest
33,Nic Claxton,C,6-11,215,April 17 1999,us,2,Georgia
12,Joe Harris,SF,6-6,220,September 6 1991,us,7,Virginia
20,Day'Ron Sharpe,PF,6-11,265,November 6 2001,us,R,UNC
14,Kessler Edwards  (TW),SF,6-8,215,August 9 2000,us,R,Pepperdine
6,David Duke Jr.  (TW),PG,6-5,205,October 13 1999,us,R,Providence
9,Langston Galloway,SG,6-1,200,December 9 1991,us,7,Saint Joseph's
4,Shaquille Harrison,SG,6-7,190,October 6 1993,us,4,Tulsa
,Kyrie Irving,PG,6-2,195,March 23 1992,au,10,Duke
