No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
36,Marcus Smart,PG,6-3,220,March 6 1994,us,7,Oklahoma State
0,Jayson Tatum,SF,6-8,210,March 3 1998,us,4,Duke
12,Grant Williams,PF,6-6,236,November 30 1998,us,2,Tennessee
11,Payton Pritchard,SG,6-1,195,January 28 1998,us,1,Oregon
71,Dennis Schröder,SG,6-3,172,September 15 1993,de,8,
9,Romeo Langford,SG,6-4,216,October 25 1999,us,2,Indiana
42,Al Horford,C,6-9,240,June 3 1986,do,14,Florida
44,Robert Williams,C,6-8,237,October 17 1997,us,3,Texas A&M
26,Aaron Nesmith,SF,6-5,215,October 16 1999,us,1,Vanderbilt
8,Josh Richardson,SG,6-5,200,September 15 1993,us,6,Tennessee
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,5,California
13,Enes Freedom,C,6-10,250,May 20 1992,ch,10,
41,Juancho Hernangómez,PF,6-9,214,September 28 1995,es,5,
20,Jabari Parker,PF,6-8,245,March 15 1995,us,7,Duke
28,Bruno Fernando,C,6-9,240,August 15 1998,ao,2,Maryland
30,Sam Hauser  (TW),SF,6-8,215,December 8 1997,us,R,Marquette Virginia
97,Brodric Thomas  (TW),SG,6-5,185,January 28 1997,us,1,Truman State University
,Al-Farouq Aminu,F,6-8,220,September 21 1990,us,11,Wake Forest
,Norvel Pelle,F-C,6-10,231,February 3 1993,ag,2,
