No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Kelly Oubre Jr.,SF,6-7,203,December 9 1995,us,6,Kansas
20,Gordon Hayward,SF,6-7,225,March 23 1990,us,11,Butler
0,Miles Bridges,PF,6-6,225,March 21 1998,us,3,Michigan State
11,Cody Martin,SF,6-5,205,September 28 1995,us,2,NC State Nevada
2,LaMelo Ball,PG,6-7,180,August 22 2001,us,1,
6,Jalen McDaniels,SF,6-9,205,January 31 1998,us,2,San Diego State
14,Nick Richards,C,7-0,245,November 29 1997,jm,1,Kentucky
3,Terry Rozier,SG,6-1,190,March 17 1994,us,6,Louisville
24,Mason Plumlee,C,6-11,254,March 5 1990,us,8,Duke
10,Ish Smith,PG,6-0,175,July 5 1988,us,11,Wake Forest
25,P.J. Washington,PF,6-7,230,August 23 1998,us,2,Kentucky
5,James Bouknight,SG,6-5,190,September 18 2000,us,R,UConn
23,Kai Jones,C,6-11,218,January 19 2001,bs,R,Texas
21,JT Thor,PF,6-10,205,August 26 2002,us,R,Auburn
22,Vernon Carey Jr.,C,6-9,270,February 25 2001,us,1,Duke
16,Scottie Lewis  (TW),SG,6-5,189,March 12 2000,us,R,Florida
98,Arnoldas Kulboka  (TW),SF,6-9,198,January 4 1998,lt,R,
