No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Zach LaVine,SF,6-5,200,March 10 1995,us,7,UCLA
11,DeMar DeRozan,PF,6-6,220,August 7 1989,us,12,USC
12,Ayo Dosunmu,SG,6-5,200,January 17 2000,us,R,Illinois
2,Lonzo Ball,PG,6-6,190,October 27 1997,us,4,UCLA
24,Javonte Green,SF,6-4,205,July 23 1993,us,2,Radford
9,Nikola Vucevic,C,6-10,260,October 24 1990,ch,10,USC
6,Alex Caruso,SG,6-4,186,February 28 1994,us,4,Texas A&M
5,Derrick Jones Jr.,PF,6-5,210,February 15 1997,us,5,UNLV
7,Troy Brown Jr.,SF,6-6,215,July 28 1999,us,3,Oregon
13,Tony Bradley,C,6-10,248,January 8 1998,us,4,UNC
0,Coby White,PG,6-5,195,February 16 2000,us,2,UNC
21,Matt Thomas,SG,6-4,190,August 4 1994,us,2,Iowa State
25,Tyler Cook  (TW),PF,6-8,255,September 23 1997,us,2,Iowa
3,Devon Dotson  (TW),PG,6-2,185,August 2 1999,us,1,Kansas
44,Patrick Williams,PF,6-7,215,August 26 2001,us,1,Florida State
19,Marko Simonovic,C,6-11,216,October 15 1999,me,R,
28,Alfonzo McKinnie,SF,6-7,215,September 17 1992,us,4,Green Bay
00,Mac McClung,PG,6-2,185,January 6 1999,us,R,Georgetown Texas Tech
,Jordan Bell,F,6-8,216,January 7 1995,us,4,Oregon
