No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Ricky Rubio,PG,6-2,190,October 21 1990,es,10,
10,Darius Garland,PG,6-1,192,January 26 2000,us,2,Vanderbilt
31,Jarrett Allen,C,6-11,243,April 21 1998,us,4,Texas
4,Evan Mobley,PF,7-0,215,June 18 2001,us,R,USC
0,Kevin Love,PF,6-8,251,September 7 1988,us,13,UCLA
24,Lauri Markkanen,PF,7-0,240,May 22 1997,fi,4,Arizona
35,Isaac Okoro,SF,6-5,225,January 26 2001,us,1,Auburn
32,Dean Wade,PF,6-9,228,November 20 1996,us,2,Kansas State
16,Cedi Osman,SF,6-7,230,April 8 1995,mk,4,
8,Lamar Stevens,PF,6-6,230,July 9 1997,us,1,Penn State
9,Dylan Windler,SF,6-6,196,September 22 1996,us,1,Belmont
6,Kevin Pangos,PG,6-2,179,January 26 1993,ca,R,Gonzaga
21,Ed Davis,C,6-9,218,June 5 1989,us,11,UNC
2,Collin Sexton,SG,6-1,190,January 4 1999,us,3,Alabama
99,Tacko Fall  (TW),C,7-5,311,December 10 1995,sn,2,Central Florida
5,RJ Nembhard Jr.  (TW),SG,6-5,200,March 22 1999,us,R,TCU
26,Brandon Goodwin,PG,6-0,180,October 2 1995,us,3,Central Florida Florida Gulf Coast
14,Malik Newman,PG,6-3,190,February 21 1997,us,1,Mississippi State Kansas
,Rajon Rondo,G,6-1,180,February 22 1986,us,15,Kentucky 
