No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Dwight Powell,C,6-10,240,July 20 1991,ca,7,Stanford
13,Jalen Brunson,PG,6-1,190,August 31 1996,us,3,Villanova
10,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,5,Florida
11,Tim Hardaway Jr.,SG,6-5,205,March 16 1992,us,8,Michigan
25,Reggie Bullock,SF,6-6,205,March 16 1991,us,8,UNC
0,Sterling Brown,SG,6-5,219,February 10 1995,us,4,SMU
21,Frank Ntilikina,PG,6-4,200,July 28 1998,be,4,
6,Kristaps Porzingis,PF,7-3,240,August 2 1995,lv,5,
77,Luka Doncic,PG,6-7,230,February 28 1999,si,3,
42,Maxi Kleber,PF,6-10,240,January 29 1992,de,4,
9,Moses Brown,C,7-2,245,October 13 1999,us,2,UCLA
8,Josh Green,SG,6-5,200,November 16 2000,au,1,Arizona
3,Trey Burke,PG,6-0,185,November 12 1992,us,8,Michigan
33,Willie Cauley-Stein,C,7-0,240,August 18 1993,us,6,Kentucky
51,Boban Marjanovic,C,7-3,290,August 15 1988,rs,6,
1,Theo Pinson,SF,6-5,212,November 5 1995,us,3,UNC
32,Marquese Chriss,PF,6-9,240,July 2 1997,us,5,Washington
30,JaQuori McLaughlin  (TW),PG,6-4,190,January 29 1998,us,R,Oregon State UC Santa Barbara
2,Isaiah Thomas,PG,5-9,185,February 7 1989,us,10,Washington
