No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Facundo Campazzo,PG,5-10,195,March 23 1991,ar,1,
32,Jeff Green,C,6-8,235,August 28 1986,us,13,Georgetown
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,7,Arizona
11,Monte Morris,PG,6-2,183,June 27 1995,us,4,Iowa State
5,Will Barton,SG,6-6,181,January 6 1991,us,9,Memphis
0,JaMychal Green,PF,6-8,227,June 21 1990,us,7,Alabama
15,Nikola Jokic,C,6-11,284,February 19 1995,rs,6,
3,Bones Hyland,PG,6-3,173,September 14 2000,us,R,VCU
25,Austin Rivers,SG,6-4,200,August 1 1992,us,9,Duke
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,1,Arizona
35,PJ Dozier,SG,6-6,205,October 25 1996,us,4,South Carolina
00,Markus Howard  (TW),SG,5-10,175,March 3 1999,us,1,Marquette
31,Vlatko Cancar,PF,6-8,236,April 10 1997,si,2,
10,Bol Bol,PF,7-2,220,November 16 1999,sd,2,Oregon
21,Petr Cornelie  (TW),PF,6-11,220,July 26 1995,fr,R,
9,Davon Reed,SG,6-5,208,June 11 1995,us,2,Miami (FL)
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,2,Missouri
6,Rayjon Tucker,SG,6-3,209,September 24 1997,us,2,Florida Gulf Coast Little Rock
23,Carlik Jones,PG,6-1,185,December 23 1997,us,R,Radford Louisville
,Jamal Murray,PG,6-3,215,February 23 1997,ca,5,Kentucky
