No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Saddiq Bey,SF,6-7,215,April 9 1999,us,1,Villanova
5,Frank Jackson,PG,6-3,205,May 4 1998,us,3,Duke
8,Trey Lyles,PF,6-9,234,November 5 1995,ca,6,Kentucky
6,Hamidou Diallo,SG,6-5,202,July 31 1998,us,3,Kentucky
28,Isaiah Stewart,C,6-8,250,May 22 2001,us,1,Washington
18,Cory Joseph,PG,6-3,200,August 20 1991,ca,10,Texas
2,Cade Cunningham,PG,6-6,220,September 25 2001,us,R,Oklahoma State
20,Josh Jackson,SF,6-8,207,February 10 1997,us,4,Kansas
7,Killian Hayes,PG,6-5,195,July 27 2001,us,1,
9,Jerami Grant,PF,6-8,210,March 12 1994,us,7,Syracuse
55,Luka Garza,C,6-11,235,December 27 1998,us,R,Iowa
38,Saben Lee,PG,6-2,183,June 23 1999,us,1,Vanderbilt
17,Rodney McGruder,SG,6-4,205,July 29 1991,us,5,Kansas State
13,Kelly Olynyk,C,6-11,240,April 19 1991,ca,8,Gonzaga
24,Jamorko Pickett  (TW),PF,6-9,206,December 24 1997,us,R,Georgetown
34,Justin Robinson,PG,6-1,195,October 12 1997,us,2,Virginia Tech
91,Deividas Sirvydis,SG,6-8,190,June 10 2000,lt,1,
19,Micah Potter,C,6-10,248,April 6 1998,us,R,Ohio State Wisconsin
31,Trayvon Palmer,SG,6-6,200,November 13 1994,us,R,North Dakota State College of Science Chicago State
12,Isaiah Livers,SF,6-7,230,July 28 1998,us,R,Michigan
42,Jaysean Paige,PG,6-3,205,July 30 1994,us,R,College of Southern Idaho Moberly Area Community College West Virginia
,Chris Smith  (TW),F,6-9,215,December 24 1999,us,R,UCLA
