No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Jae'Sean Tate,SF,6-4,230,October 28 1995,us,1,Ohio State
35,Christian Wood,C,6-10,214,September 27 1995,us,5,UNLV
28,Alperen Sengün,C,6-9,235,July 25 2002,tr,R,
6,Kenyon Martin Jr.,SF,6-6,215,January 6 2001,us,1,
10,Eric Gordon,SG,6-3,215,December 25 1988,us,13,Indiana
7,Armoni Brooks,SG,6-3,195,June 5 1998,us,1,Houston
9,Josh Christopher,SG,6-5,215,December 8 2001,us,R,Arizona State
14,D.J. Augustin,PG,5-11,183,November 10 1987,us,13,Texas
2,David Nwaba,SF,6-5,219,January 14 1993,us,5,Cal Poly
0,Jalen Green,SG,6-4,178,February 9 2002,us,R,
27,Daniel Theis,C,6-8,245,April 4 1992,de,4,
3,Kevin Porter Jr.,PG,6-4,203,May 4 2000,us,2,USC
25,Garrison Mathews,SG,6-5,215,October 24 1996,us,2,Lipscomb
16,Usman Garuba,PF,6-8,220,March 9 2002,es,R,
21,Trevelin Queen  (TW),SG,6-6,190,February 25 1997,us,R,College of Marin New Mexico Military Institute New Mexico State
15,Daishen Nix  (TW),SG,6-5,224,February 13 2002,us,R,
,John Wall,PG,6-3,210,September 6 1990,us,10,Kentucky
,DeJon Jarreau,G,6-5,185,January 23 1998,us,R,UMass Houston
