No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Domantas Sabonis,C,6-11,240,May 3 1996,us,5,Gonzaga
33,Myles Turner,C,6-11,250,March 24 1996,us,6,Texas
13,Torrey Craig,SF,6-7,221,December 19 1990,us,4,USC Upstate
3,Chris Duarte,SG,6-6,190,June 13 1997,ca,R,Oregon
8,Justin Holiday,SF,6-6,180,April 5 1989,us,8,Washington
22,Caris LeVert,SG,6-6,205,August 25 1994,us,5,Michigan
21,Kelan Martin,SF,6-5,230,August 3 1995,us,2,Butler
7,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,5,Virginia
26,Jeremy Lamb,SF,6-5,180,May 30 1992,us,9,UConn
12,Oshae Brissett,SF,6-7,210,June 20 1998,ca,2,Syracuse
9,T.J. McConnell,PG,6-1,190,March 25 1992,us,6,Duquesne Arizona
88,Goga Bitadze,C,6-11,250,July 20 1999,ge,2,
23,Isaiah Jackson,PF,6-10,206,January 10 2002,us,R,Kentucky
4,Duane Washington Jr.  (TW),PG,6-3,210,March 24 2000,de,R,Ohio State
28,Keifer Sykes,PG,6-0,180,December 30 1993,us,R,Green Bay
6,Lance Stephenson,SG,6-6,230,September 5 1990,us,9,Cincinnati
10,Justin Anderson,SF,6-6,230,November 19 1993,us,5,Virginia
14,Nate Hinton,SG,6-5,210,June 8 1999,us,1,Houston
,T.J. Warren,SF,6-8,220,September 5 1993,us,7,NC State
,Terry Taylor  (TW),G-F,6-5,230,September 23 1999,us,R,Austin Peay State University
,Ahmad Caver,G,6-2,175,September 12 1996,us,R,Old Dominion
