No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Eric Bledsoe,PG,6-1,214,December 9 1989,us,11,Kentucky
14,Terance Mann,SF,6-5,215,October 18 1996,us,2,Florida State
5,Luke Kennard,SG,6-5,206,June 24 1996,us,4,Duke
40,Ivica Zubac,C,7-0,240,March 18 1997,ba,5,
1,Reggie Jackson,SG,6-2,208,April 16 1990,it,10,Boston College
55,Isaiah Hartenstein,C,7-0,250,May 5 1998,us,3,
20,Justise Winslow,SF,6-6,222,March 26 1996,us,6,Duke
13,Paul George,SF,6-8,220,May 2 1990,us,11,Fresno State
7,Amir Coffey  (TW),SG,6-7,210,June 17 1997,us,2,Minnesota
4,Brandon Boston Jr.,SG,6-7,185,November 28 2001,us,R,Kentucky
33,Nicolas Batum,PF,6-8,230,December 14 1988,fr,13,
9,Serge Ibaka,C,6-10,235,September 18 1989,cg,12,
8,Marcus Morris,PF,6-8,218,September 2 1989,us,10,Kansas
45,Keon Johnson,SG,6-5,186,March 10 2002,us,R,Tennessee
0,Jay Scrubb  (TW),SG,6-5,220,September 1 2000,us,1,John A. Logan College
15,Xavier Moon,SG,6-2,165,January 2 1995,,R,Northwest Florida State College Morehead State University
10,James Ennis III,SF,6-6,215,July 1 1990,us,7,Cal State Long Beach
35,Wenyen Gabriel,PF,6-9,205,March 26 1997,sd,2,Kentucky
,Kawhi Leonard,SF,6-7,225,June 29 1991,us,10,San Diego State
,Jason Preston,G,6-4,187,August 10 1999,us,R,Ohio University echo No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Russell Westbrook,PG,6-3,200,November 12 1988,us,13,UCLA
7,Carmelo Anthony,PF,6-7,238,May 29 1984,us,18,Syracuse
11,Malik Monk,SG,6-3,200,February 4 1998,us,4,Kentucky
20,Avery Bradley,SG,6-3,180,November 26 1990,us,11,Texas
39,Dwight Howard,C,6-10,265,December 8 1985,us,17,
3,Anthony Davis,C,6-10,253,March 11 1993,us,9,Kentucky
2,Wayne Ellington,SG,6-4,207,November 29 1987,us,12,UNC
10,DeAndre Jordan,C,6-11,265,July 21 1988,us,13,Texas A&M
6,LeBron James,SF,6-9,250,December 30 1984,us,18,
5,Talen Horton-Tucker,SG,6-4,234,November 25 2000,us,2,Iowa State
9,Kent Bazemore,SF,6-4,195,July 1 1989,us,9,Old Dominion
15,Austin Reaves,SG,6-5,206,May 29 1998,us,R,Wichita State Oklahoma
1,Trevor Ariza,SF,6-8,215,June 30 1985,us,17,UCLA
30,Jay Huff  (TW),C,7-1,240,August 25 1998,us,R,Virginia
40,Mason Jones  (TW),SG,6-4,200,July 21 1998,us,1,Connors State College Arkansas
,Kendrick Nunn,PG,6-2,190,August 3 1995,us,2,Illinois Oakland
