No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Desmond Bane,SF,6-5,215,June 25 1998,us,1,TCU
4,Steven Adams,C,6-11,265,July 20 1993,nz,8,Pitt
13,Jaren Jackson Jr.,PF,6-11,242,September 15 1999,us,3,Michigan State
21,Tyus Jones,PG,6-0,196,May 10 1996,us,6,Duke
1,Kyle Anderson,PF,6-9,230,September 20 1993,us,7,UCLA
46,John Konchar,SG,6-5,210,March 22 1996,us,2,Purdue-Fort Wayne
0,De'Anthony Melton,SG,6-2,200,May 28 1998,us,3,USC
2,Xavier Tillman Sr.,PF,6-8,245,January 12 1999,us,1,Michigan State
12,Ja Morant,PG,6-3,174,August 10 1999,us,2,Murray State
15,Brandon Clarke,PF,6-8,215,September 19 1996,ca,2,San Jose State Gonzaga
35,Killian Tillie,C,6-9,220,March 5 1998,fr,1,Gonzaga
24,Dillon Brooks,SF,6-7,225,January 22 1996,ca,4,Oregon
8,Ziaire Williams,SF,6-8,215,September 12 2001,us,R,Stanford
7,Santi Aldama,PF,6-11,224,January 10 2001,es,R,Loyola (MD)
23,Jarrett Culver,SG,6-6,195,February 20 1999,us,2,Texas Tech
25,Sam Merrill,SG,6-4,205,May 15 1996,us,1,Utah State University
5,Yves Pons  (TW),SF,6-6,215,May 7 1999,ht,R,Tennessee
20,Xavier Sneed,SF,6-5,215,December 21 1997,us,R,Kansas State
31,Dakota Mathias,SG,6-4,200,July 11 1995,us,1,Purdue
10,Jon Teske,C,7-1,265,May 4 1997,us,R,Michigan
55,DaQuan Jeffries,G-F,6-5,230,August 30 1997,us,2,Oral Roberts Tulsa
