No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
55,Duncan Robinson,SG,6-7,215,April 22 1994,us,3,Williams Michigan
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,15,Villanova
21,Dewayne Dedmon,C,7-0,245,August 12 1989,us,8,USC
14,Tyler Herro,SG,6-5,195,January 20 2000,us,2,Kentucky
2,Gabe Vincent,PG,6-3,200,June 14 1996,us,2,UC Santa Barbara
17,P.J. Tucker,PF,6-5,245,May 5 1985,us,10,Texas
77,Omer Yurtseven,C,7-0,264,June 19 1998,tr,R,NC State Georgetown
16,Caleb Martin  (TW),SF,6-5,205,September 28 1995,us,2,NC State Nevada
31,Max Strus,SF,6-5,215,March 28 1996,us,2,Lewis (IL) DePaul
22,Jimmy Butler,SF,6-7,230,September 14 1989,us,10,Marquette
11,KZ Okpala,PF,6-8,215,April 28 1999,us,2,Stanford
13,Bam Adebayo,C,6-9,255,July 18 1997,us,4,Kentucky
0,Marcus Garrett  (TW),SG,6-5,205,November 9 1998,us,R,Kansas
8,Markieff Morris,PF,6-9,245,September 2 1989,us,10,Kansas
40,Udonis Haslem,C,6-8,235,June 9 1980,us,18,Florida
5,Kyle Guy,SG,6-1,167,August 11 1997,us,2,Virginia
30,Chris Silva,PF,6-8,234,September 19 1996,ga,2,South Carolina
9,Nik Stauskas,SG,6-6,205,October 7 1993,ca,5,Michigan
24,Haywood Highsmith,SF,6-7,220,December 9 1996,us,1,Wheeling University
,Mario Chalmers,G,6-2,190,May 19 1986,us,9,Kansas
,Aric Holman,F,6-10,225,July 11 1997,us,R,Mississippi State
,Victor Oladipo,SG,6-4,213,May 4 1992,us,8,Indiana
