No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Pat Connaughton,SG,6-5,209,January 6 1993,us,6,Notre Dame
7,Grayson Allen,SG,6-4,198,October 8 1995,us,3,Duke
3,George Hill,SG,6-4,188,May 4 1986,us,13,IUPUI
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,12,UCLA
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,8,
9,Bobby Portis,C,6-10,250,February 10 1995,us,6,Arkansas
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,1,Louisville
5,Rodney Hood,SF,6-8,208,October 20 1992,us,7,Mississippi State Duke
22,Khris Middleton,SF,6-7,222,August 12 1991,us,9,Texas A&M
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,3,
54,Sandro Mamukelashvili  (TW),PF,6-11,240,May 23 1999,us,R,Seton Hall
15,DeMarcus Cousins,C,6-10,270,August 13 1990,us,10,Kentucky
37,Semi Ojeleye,PF,6-6,240,December 5 1994,us,4,Duke SMU
23,Wesley Matthews,SG,6-4,220,October 14 1986,us,12,Marquette
6,Javonte Smart  (TW),PG,6-4,205,June 3 1999,us,R,LSU
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,3,Villanova
11,Brook Lopez,C,7-0,282,April 1 1988,us,13,Stanford
,Luke Kornet,F,7-2,250,July 15 1995,us,4,Vanderbilt
