No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Malik Beasley,SG,6-4,187,November 26 1996,us,5,Florida State
11,Naz Reid,C,6-9,264,August 26 1999,us,2,LSU
3,Jaden McDaniels,PF,6-9,185,September 29 2000,us,1,Washington
8,Jarred Vanderbilt,PF,6-9,214,April 3 1999,us,3,Kentucky
1,Anthony Edwards,SG,6-4,225,August 5 2001,us,1,Georgia
32,Karl-Anthony Towns,C,6-11,248,November 15 1995,us,6,Kentucky
0,D'Angelo Russell,PG,6-4,193,February 23 1996,us,6,Ohio State
22,Patrick Beverley,PG,6-1,180,July 12 1988,us,9,Arkansas
12,Taurean Prince,PF,6-7,218,March 22 1994,us,5,Baylor
6,Jordan McLaughlin,PG,5-11,185,April 9 1996,us,2,USC
4,Jaylen Nowell,SG,6-4,201,July 9 1999,us,2,Washington
20,Josh Okogie,SG,6-4,213,September 1 1998,ng,3,Georgia Tech
9,Leandro Bolmaro,SF,6-6,200,September 11 2000,ar,R,
13,Nathan Knight  (TW),PF,6-10,253,September 20 1997,us,1,William & Mary
10,Jake Layman,SF,6-8,209,March 7 1994,us,5,Maryland
55,Greg Monroe,C,6-11,265,June 4 1990,us,9,Georgetown
25,McKinley Wright IV  (TW),PG,6-0,196,October 25 1998,us,R,Colorado
