No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Garrett Temple,SG,6-5,195,May 8 1986,us,11,LSU
17,Jonas Valanciunas,C,6-11,265,May 6 1992,lt,9,
4,Devonte' Graham,PG,6-1,195,February 22 1995,us,3,Kansas
6,Nickeil Alexander-Walker,SG,6-6,205,September 2 1998,ca,2,Virginia Tech
5,Herbert Jones,C,6-8,210,October 6 1998,us,R,Alabama
25,Trey Murphy III,SF,6-9,206,June 18 2000,us,R,Rice University Virginia
31,Tomáš Satoranský,SG,6-7,210,October 30 1991,cz,5,
3,Josh Hart,PF,6-5,215,March 6 1995,us,4,Villanova
14,Brandon Ingram,SF,6-8,190,September 2 1997,us,5,Duke
10,Jaxson Hayes,C,6-11,220,May 23 2000,us,2,Texas
13,Kira Lewis Jr.,PG,6-1,170,April 6 2001,us,1,Alabama
9,Willy Hernangómez,C,6-11,250,May 27 1994,es,5,
8,Naji Marshall,SF,6-7,220,January 24 1998,us,1,Xavier
15,Jose Alvarado  (TW),PG,6-0,179,April 12 1998,us,R,Georgia Tech
12,Gary Clark,PF,6-6,225,November 16 1994,us,3,Cincinnati
2,Jared Harper  (TW),PG,5-10,175,September 14 1997,us,2,Auburn
0,Didi Louzada,SF,6-5,188,February 7 1999,br,1,
,Feron Hunt,F,6-8,195,July 5 1999,us,R,SMU
,Zion Williamson,PF,6-6,284,July 6 2000,us,2,Duke
,Craig Sword,,,,,,R,
,Justin James,G,6-7,190,January 24 1997,us,2,Wyoming
