No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Evan Fournier,SG,6-7,205,October 29 1992,fr,9,
18,Alec Burks,SG,6-6,214,July 20 1991,us,10,Colorado
30,Julius Randle,PF,6-8,250,November 29 1994,us,7,Kentucky
5,Immanuel Quickley,PG,6-3,190,June 17 1999,us,1,Kentucky
23,Mitchell Robinson,C,7-0,240,April 1 1998,us,3,Western Kentucky
1,Obi Toppin,PF,6-9,220,March 4 1998,us,1,Dayton
9,RJ Barrett,SF,6-6,214,June 14 2000,ca,2,Duke
4,Derrick Rose,PG,6-2,200,October 4 1988,us,12,Memphis
8,Kemba Walker,PG,6-0,184,May 8 1990,us,10,UConn
67,Taj Gibson,C,6-9,232,June 24 1985,us,12,USC
6,Quentin Grimes,SG,6-5,205,May 8 2000,us,R,Kansas Houston
3,Nerlens Noel,C,6-11,220,April 10 1994,us,7,Kentucky
2,Miles McBride,PG,6-2,200,September 8 2000,us,R,West Virginia
20,Kevin Knox,SF,6-7,215,August 11 1999,us,3,Kentucky
45,Jericho Sims  (TW),PF,6-10,245,October 20 1998,us,R,Texas
21,Damyean Dotson,SG,6-5,210,May 6 1994,us,4,Oregon Houston
31,Matt Mooney,SG,6-3,199,February 7 1997,us,1,Air Force South Dakota Texas Tech
,Luka Šamanic  (TW),F,6-10,227,January 9 2000,hr,2,
