No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Luguentz Dort,SF,6-3,215,April 19 1999,ca,2,Arizona State
34,Kenrich Williams,SF,6-6,210,December 2 1994,us,3,TCU
17,Aleksej Pokusevski,PF,7-0,190,December 26 2001,rs,1,
50,Jeremiah Robinson-Earl,C,6-9,230,November 3 2000,us,R,Villanova
2,Shai Gilgeous-Alexander,PG,6-6,180,July 12 1998,ca,3,Kentucky
3,Josh Giddey,SG,6-8,210,October 10 2002,au,R,
7,Darius Bazley,PF,6-8,208,June 12 2000,us,2,
33,Mike Muscala,C,6-10,240,July 1 1991,us,8,Bucknell
16,Ty Jerome,SG,6-5,195,July 8 1997,us,2,Virginia
15,Derrick Favors,C,6-9,265,July 15 1991,us,11,Georgia Tech
23,Tre Mann,PG,6-5,190,February 3 2001,us,R,Florida
11,Théo Maledon,PG,6-4,175,June 12 2001,fr,1,
21,Aaron Wiggins  (TW),SG,6-6,200,January 2 1999,us,R,Maryland
22,Isaiah Roby,PF,6-8,230,February 3 1998,us,2,Nebraska
8,Paul Watson  (TW),SF,6-6,210,December 30 1994,us,2,Fresno State
6,Gabriel Deck,PF,6-8,232,February 8 1995,ar,1,
27,Vit Krejci,SG,6-8,195,June 19 2000,cz,R,
30,Olivier Sarr,C,7-0,237,February 20 1999,fr,R,Wake Forest Kentucky
25,Rob Edwards,SG,6-5,205,January 20 1997,us,R,Cleveland State University Arizona State
55,Scotty Hopson,SG,6-7,204,August 8 1989,us,2,Tennessee
14,Jaylen Hoard,SF,6-8,216,March 30 1999,fr,2,Wake Forest
