No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Franz Wagner,SF,6-9,225,August 27 2001,de,R,Michigan
34,Wendell Carter Jr.,C,6-10,270,April 16 1999,us,3,Duke
13,R.J. Hampton,SG,6-4,175,February 7 2001,us,1,
14,Gary Harris,SG,6-4,210,September 14 1994,us,7,Michigan State
31,Terrence Ross,SG,6-6,206,February 5 1991,us,9,Washington
5,Mo Bamba,C,7-0,231,May 12 1998,us,3,Texas
21,Moritz Wagner,C,6-11,245,April 26 1997,de,3,Michigan
3,Chuma Okeke,PF,6-6,229,August 18 1998,us,1,Auburn
50,Cole Anthony,PG,6-2,185,May 15 2000,us,1,UNC
4,Jalen Suggs,PG,6-4,205,June 3 2001,us,R,Gonzaga
33,Robin Lopez,C,7-0,281,April 1 1988,us,13,Stanford
17,Ignas Brazdeikis  (TW),SF,6-6,221,January 8 1999,lt,2,Michigan
2,Mychal Mulder  (TW),PG,6-3,184,June 12 1994,ca,2,Vincennes University Kentucky
25,Admiral Schofield,SF,6-5,241,March 30 1997,gb,1,Tennessee
8,Tim Frazier,PG,6-0,170,November 1 1990,us,7,Penn State
44,Freddie Gillespie,PF,6-9,245,June 14 1997,us,1,Carleton College Baylor
,Michael Carter-Williams,SG,6-5,190,October 10 1991,us,8,Syracuse
,Jonathan Isaac,PF,6-11,230,October 3 1997,us,3,Florida State
,E'Twaun Moore,SG,6-3,191,February 25 1989,us,10,Purdue
,Markelle Fultz,PG,6-3,209,May 29 1998,us,4,Washington
