No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
31,Seth Curry,SG,6-2,185,August 23 1990,us,7,Liberty Duke
0,Tyrese Maxey,PG,6-2,200,November 4 2000,us,1,Kentucky
20,Georges Niang,PF,6-7,230,June 17 1993,us,5,Iowa State
30,Furkan Korkmaz,SG,6-7,202,July 24 1997,tr,4,
1,Andre Drummond,C,6-10,279,August 10 1993,us,9,UConn
22,Matisse Thybulle,SG,6-5,201,March 4 1997,us,2,Washington
12,Tobias Harris,PF,6-8,226,July 15 1992,us,10,Tennessee
18,Shake Milton,PG,6-5,205,September 26 1996,us,3,SMU
21,Joel Embiid,C,7-0,280,March 16 1994,cm,5,Kansas
14,Danny Green,SF,6-6,215,June 22 1987,us,12,UNC
7,Isaiah Joe,SG,6-4,165,July 2 1999,us,1,Arkansas
44,Paul Reed,C,6-9,210,June 14 1999,us,1,DePaul
23,Charles Bassey,PF,6-11,235,October 28 2000,ng,R,Western Kentucky
50,Aaron Henry  (TW),SF,6-6,210,August 30 1999,us,R,Michigan State
5,Myles Powell  (TW),PG,6-2,195,July 7 1997,us,R,Seton Hall
11,Jaden Springer,SG,6-4,204,September 25 2002,us,R,Tennessee
,Ben Simmons,PG,6-11,240,July 20 1996,au,4,LSU
,Charlie Brown Jr.,G,6-6,199,February 2 1997,us,2,Saint Joseph's
