No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Larry Nance Jr.,PF,6-7,245,January 1 1993,us,6,Wyoming
27,Jusuf Nurkic,C,6-11,290,August 23 1994,ba,7,
33,Robert Covington,PF,6-7,209,December 14 1990,us,8,Tennessee State
24,Norman Powell,SF,6-3,215,May 25 1993,us,6,UCLA
1,Anfernee Simons,SG,6-3,181,June 8 1999,us,3,
9,Nassir Little,SF,6-5,220,February 11 2000,us,2,UNC
0,Damian Lillard,PG,6-2,195,July 15 1990,us,9,Weber State
17,Tony Snell,SG,6-6,213,November 10 1991,us,8,New Mexico
3,CJ McCollum,SG,6-3,190,September 19 1991,us,8,Lehigh
40,Cody Zeller,C,6-11,240,October 5 1992,us,8,Indiana
23,Ben McLemore,SG,6-3,195,February 11 1993,us,8,Kansas
10,Dennis Smith Jr.,PG,6-2,205,November 25 1997,us,4,NC State
16,CJ Elleby,SF,6-6,200,June 16 2000,us,1,Washington State
4,Greg Brown III,SF,6-9,205,September 1 2001,us,R,Texas
2,Trendon Watford  (TW),SF,6-9,240,November 9 2000,us,R,LSU
8,Cameron McGriff,SF,6-7,230,September 30 1997,us,R,Oklahoma State
21,Keljin Blevins  (TW),SF,6-4,200,November 24 1995,us,1,Southern Miss Montana State
34,Jarron Cumberland,SG,6-5,205,September 22 1997,us,R,Cincinnati
18,Reggie Perry,PF,6-8,250,March 21 2000,us,1,Mississippi State
5,Brandon Williams,PG,6-2,190,November 22 1999,us,R,
,Quinn Cook,G,6-1,180,March 23 1993,us,5,Duke
