No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Buddy Hield,SG,6-4,220,December 17 1992,bs,5,Oklahoma
0,Tyrese Haliburton,SG,6-5,185,February 29 2000,us,1,Iowa State
5,De'Aaron Fox,PG,6-3,185,December 20 1997,us,4,Kentucky
40,Harrison Barnes,PF,6-8,225,May 30 1992,us,9,UNC
15,Davion Mitchell,PG,6-2,205,September 5 1998,us,R,Auburn Baylor
22,Richaun Holmes,C,6-10,235,October 15 1993,us,6,Bowling Green
13,Tristan Thompson,PF,6-9,254,March 13 1991,ca,10,Texas
7,Chimezie Metu,C,6-9,225,March 22 1997,us,3,USC
8,Maurice Harkless,SF,6-7,220,May 11 1993,us,9,St. John's
3,Terence Davis,SG,6-4,201,May 16 1997,us,2,Ole Miss
25,Alex Len,C,7-0,250,June 16 1993,ua,8,Maryland
30,Damian Jones,C,6-11,245,June 30 1995,us,5,Vanderbilt
35,Marvin Bagley III,PF,6-11,235,March 14 1999,us,3,Duke
20,Jahmi'us Ramsey,SG,6-3,190,June 9 2001,us,1,Texas Tech
17,Robert Woodard II,SF,6-6,235,September 22 1999,us,1,Mississippi State
23,Louis King  (TW),SF,6-7,205,April 6 1999,us,2,Oregon
88,Neemias Queta  (TW),C,7-0,245,July 13 1999,pt,R,Utah State University
