No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Derrick White,SG,6-4,190,July 2 1994,us,4,Colorado-Colorado Springs Colorado
3,Keldon Johnson,SF,6-5,220,October 11 1999,us,2,Kentucky
14,Drew Eubanks,C,6-9,245,February 1 1997,us,3,Oregon State
1,Lonnie Walker IV,SG,6-4,204,December 14 1998,us,3,Miami (FL)
7,Bryn Forbes,SG,6-2,205,July 23 1993,us,5,Michigan State
33,Tre Jones,PG,6-1,185,January 8 2000,us,1,Duke
5,Dejounte Murray,PG,6-4,180,September 19 1996,us,4,Washington
24,Devin Vassell,SF,6-5,200,August 23 2000,us,1,Florida State
25,Jakob Poeltl,C,7-1,245,October 15 1995,at,5,Utah
31,Keita Bates-Diop,SF,6-8,229,January 23 1996,us,3,Ohio State
17,Doug McDermott,PF,6-7,225,January 3 1992,us,7,Creighton
30,Thaddeus Young,PF,6-8,235,June 21 1988,us,14,Georgia Tech
34,Jock Landale,C,6-11,256,October 25 1995,au,R,Saint Mary's
11,Joshua Primo,SG,6-6,190,December 24 2002,ca,R,Alabama
15,Joe Wieskamp  (TW),SG,6-6,212,August 23 1999,us,R,Iowa
18,Devontae Cacok  (TW),PF,6-7,240,October 8 1996,us,2,UNC Wilmington
,Zach Collins,PF,6-11,250,November 19 1997,us,3,Gonzaga
,Denzel Mahoney,F,6-5,220,January 18 1998,us,R,SE Missouri State Creighton
,Jaylen Morris,G,6-5,185,September 19 1995,us,2,Molloy
