No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
14,Svi Mykhailiuk,SF,6-7,205,June 10 1997,ua,3,Kansas
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,4,Oregon
23,Fred VanVleet,PG,6-1,197,February 25 1994,us,5,Wichita State
33,Gary Trent Jr.,SG,6-5,209,January 18 1999,us,3,Duke
45,Dalano Banton,SF,6-9,204,November 7 1999,ca,R,Nebraska
4,Scottie Barnes,PF,6-9,227,August 1 2001,us,R,Florida State
5,Precious Achiuwa,C,6-8,225,September 19 1999,ng,1,Memphis
22,Malachi Flynn,PG,6-1,175,May 10 1998,us,1,Washington State San Diego State
43,Pascal Siakam,PF,6-9,230,April 2 1994,cm,5,New Mexico State
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,4,Indiana
24,Khem Birch,C,6-9,233,September 28 1992,ca,4,Pitt UNLV
11,Justin Champagnie  (TW),SF,6-6,200,June 29 2001,us,R,Pitt
18,Yuta Watanabe,SF,6-9,215,October 13 1994,jp,3,George Washington
17,Isaac Bonga,SF,6-8,180,November 8 1999,de,3,
1,Goran Dragic,PG,6-3,190,May 6 1986,si,13,
13,David Johnson  (TW),SG,6-5,210,February 26 2001,us,R,Louisville
