No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
44,Bojan Bogdanovic,PF,6-7,226,April 18 1989,ba,7,
27,Rudy Gobert,C,7-1,258,June 26 1992,fr,8,
00,Jordan Clarkson,SG,6-4,194,June 7 1992,us,7,Tulsa Missouri
2,Joe Ingles,SF,6-8,220,October 2 1987,au,7,
23,Royce O'Neale,SF,6-4,226,June 5 1993,us,4,Denver Baylor
45,Donovan Mitchell,SG,6-1,215,September 7 1996,us,4,Louisville
11,Mike Conley,PG,6-1,175,October 11 1987,us,14,Ohio State
21,Hassan Whiteside,C,7-0,265,June 13 1989,us,9,Marshall
3,Trent Forrest  (TW),PG,6-4,210,June 12 1998,us,1,Florida State
0,Eric Paschall,PF,6-6,255,November 4 1996,us,2,Fordham Villanova
8,Rudy Gay,PF,6-8,250,August 17 1986,us,15,UConn
13,Jared Butler,SG,6-3,195,August 25 2000,us,R,Baylor
81,Miye Oni,SG,6-5,206,August 4 1997,us,2,Yale
33,Elijah Hughes,SF,6-5,215,March 10 1998,us,1,Syracuse East Carolina University
24,Malik Fitts  (TW),PF,6-8,230,July 4 1997,us,1,South Florida Saint Mary's
20,Udoka Azubuike,C,6-10,280,September 17 1999,ng,1,Kansas
