No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Deni Avdija,SF,6-9,210,January 3 2001,il,1,
33,Kyle Kuzma,PF,6-10,221,July 24 1995,us,4,Utah
1,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,8,Georgia
21,Daniel Gafford,C,6-10,234,October 1 1998,us,2,Arkansas
6,Montrezl Harrell,C,6-7,240,January 26 1994,us,6,Louisville
4,Aaron Holiday,PG,6-0,185,September 30 1996,us,3,UCLA
24,Corey Kispert,SF,6-7,220,March 3 1999,us,R,Gonzaga
3,Bradley Beal,SG,6-3,207,June 28 1993,us,9,Florida
19,Raul Neto,PG,6-1,180,May 19 1992,br,6,
26,Spencer Dinwiddie,PG,6-5,215,April 6 1993,us,7,Colorado
42,Davis Bertans,PF,6-10,225,November 12 1992,lv,5,
16,Anthony Gill,PF,6-7,230,October 17 1992,us,1,South Carolina Virginia
14,Isaiah Todd,PF,6-10,220,October 17 2001,us,R,
17,Joel Ayayi  (TW),SG,6-5,180,March 5 2000,fr,R,Gonzaga
27,Alize Johnson,PF,6-7,212,April 22 1996,us,3,Missouri State
5,Cassius Winston  (TW),PG,6-1,185,February 28 1998,us,1,Michigan State
7,Jordan Goodwin,SG,6-3,200,October 23 1998,us,R,Saint Louis
22,Brad Wanamaker,PG,6-3,210,July 25 1989,us,3,Pitt
51,Tremont Waters,PG,5-10,175,January 10 1998,us,2,LSU
12,Jaime Echenique,C,6-11,258,April 27 1997,co,R,Trinity Valley CC Wichita State
,Rui Hachimura,PF,6-8,230,February 8 1998,jp,2,Gonzaga
,Thomas Bryant,C,6-10,248,July 31 1997,us,4,Indiana
